question,ans1,ans2,ans3
but doesnt accessing the last element of an array take O(n) time?,since you go through the array n times,to reach the last element,arrays can be accessed by index in constant time
"for this one, the two right ones are a and c right?",but im not so sure what you you can change on line B to and D to make it more memory efficient,i think it is a and e,oh
so what is amortized?,like best case?,so a is the case where you reach the for loop for an insert,"and amortized is simplifying, sort of like the average runtime of an insert"
like best case?,so a is the case where you reach the for loop for an insert,"and amortized is simplifying, sort of like the average runtime of an insert","so this implementation uses the doubling capacity you guys talked about in class, which means each insert is O(1) amortized"
is the tightest O(1) because `afterItem` could be the first element?,"i think if you have a pointer to afterItem, you would be able to link the pointers, like afterItem->next_ = newItem","just finished
man i made some dumb mistakes",how about pass by ptr and pass by ref
howd you do compared to the practice tests?,just my 3 cents but if you are comfortable with the practice test there is probably not too much to worry about on the real exam,"I couldn't figure out how to get the time complexity for this
I spent too long on it
I think it was something like this?",you got me real confused for a sec
"I couldn't figure out how to get the time complexity for this
I spent too long on it
I think it was something like this?",you got me real confused for a sec,x>>=1 sometimes can be slower than x/=2 depending on compiler optimizations,thanks but I don't think that was my problem with this one lol
"For people who don't get it  you can look at. 
https://www.youtube.com/watch?v=094y1Z2wpJg",what is the complexity required to actually get darkmode prairielearn,that looks so much nicer,there's a settings wheel on the left corner
"Does anyone know why the image on the left is not a complete tree? Except for the last level, it is perfect and all the leaves are as far left as possible. I thought this would make it a complete tree?",I think it is trying to say not that it is not complete but it does not match the one rule but does match the other.,Since it is unclear I have removed it.,Thank you for the clarification
"How big is the question pool for the practice exam? Wanted to do some before my exam, but the majority of questions I get are the same for every instance",between 10 and 15 for each of the three sections.,"Sounds good, thank you for the follow up",W
will just going through fleck's book be enough for the math foundational questions?,Will exam be curved?,I believe they haven't in the past few years so I imagine they wouldn't curve this semester unless the averages are horrible or something.,If you understand everything in the chapters from Prof. Fleck's book you will be fine.
Will exam be curved?,I believe they haven't in the past few years so I imagine they wouldn't curve this semester unless the averages are horrible or something.,If you understand everything in the chapters from Prof. Fleck's book you will be fine.,It has not been in the past and there is nothing about how grades have been make me think this would be any different.
Is the midterm stats out?,damn did like everyone get a C?,we need some 173,i'm just wondering will the later exams be cumulative?
damn did like everyone get a C?,we need some 173,i'm just wondering will the later exams be cumulative?,so like will exam 2 test on some topics from exam1
i'm just wondering will the later exams be cumulative?,so like will exam 2 test on some topics from exam1,Yes. Exam 2 covers material in Exam 1 and Exam 3 covers material in both prior exams,"Exam 3 should have more material from Exam 2 than Exam 1, that being said"
